target intercept intra juxta.40 para.120 p.intercept p.intra p.juxta.40 p.para.120
CD4 0.183828480285647 1.07055234046855 0.190074328522286 0.276983855230209 2.03962829182409e-10 1.21059506020729e-62 0.00925286757386719 0.00022527990397845
CD56 -0.0621254014724504 0.791012947833196 0.315816185056699 0.565825853386925 0.148244307641925 2.27556802083875e-09 0.012324743781813 8.83452613430043e-12
CD31 -0.0240703406739459 1.33932677862681 -0.0839737569478701 -0.112064905515648 0.651513738527034 4.47548721017396e-29 0.501116549137565 0.302712980526838
CD16 -0.0272009366553619 1.11819668294018 -0.0369728507244044 -0.235186504795786 0.237124347857749 2.28445598363177e-55 0.659440806040499 0.00433544198853218
PD1 -0.0931668523485984 0.299926507868753 0.0836775872448287 -0.00520246950473313 0.000360207625689903 0.0288575658255518 0.532627856563905 0.967434998223159
EGFR 0.0259054305666899 0.472107343390681 0.337774956457627 0.357163112896526 0.42635992337123 0.000607601038148777 0.00441387998445043 0.00346038724819244
CD11c 0.0276932204491322 0.824114269741239 -0.165941211016173 0.488330813971875 0.440978937555646 5.33312860770297e-17 0.209544049640657 2.43428130537706e-06
PD.L1 -0.102974726691486 0.450524017203408 -0.162153836043946 0.364311503826176 0.108350795967453 0.0108758287179673 0.214487802847569 0.0153942608489549
CD8 -0.100584661247911 0.624447734427337 0.242062932106819 -0.15960003377957 0.0242875767133515 4.83823470911234e-10 0.0126037490770388 0.25292180371245
CD68 -0.00244163795228968 0.97726020106604 -0.0772633812640179 0.150710958310187 0.936301163762879 1.85269651133324e-44 0.368656108507736 0.0346236602914662
CD63 -0.238230022800769 0.102167579349088 0.01480538914463 0.020379259062362 1.01058617228547e-05 0.454141504800023 0.915410990861883 0.898727327830217
Ki67 -0.0555887813949042 0.19940262552203 0.342651081920131 0.0185647865761316 0.146784188735583 0.210617708499955 0.0282629708868963 0.87263270913477
CD3 0.0485602224671112 1.22545760437778 0.0402917087118677 -0.146322232068603 0.0181483643377727 1.43552151752627e-117 0.458956272224002 0.0250045560232362
CD138 -0.242885412173512 0.285920472957472 0.305276329784328 0.708611702712414 0.0646167686442588 0.0237104398273678 0.0153103810723729 3.30206422738921e-08
p53 -0.240735535346957 0.21805111206822 -0.192644562173609 0.138283881928272 0.00039552375720114 0.241601271571407 0.206793771402811 0.36542765633554
CSF.1R -0.0450811229347509 0.724820023757289 0.0326117852919183 0.13148970496533 0.428672322731326 2.72069235122276e-11 0.757197066324837 0.275978282496695
HLA.DR 0.134048285678462 0.869939301371456 0.327796412465546 0.064108604885693 8.52214502877885e-07 5.30631124553215e-55 2.62579524556939e-06 0.340453804949477
CD45RO 0.129592179370797 1.30637493803122 -0.139815439163011 0.0744987508890368 3.87850695338439e-07 3.60324127282054e-101 0.03447824307396 0.224418730493045
Keratin17 0.0140940148182145 0.709890536885689 0.262279435417053 0.103849510361413 0.716558075895176 1.06338398634155e-09 0.0217747775722641 0.409688766704826
CD45 0.137166278710053 1.12227840134951 -0.0642405563513104 0.137536631359663 9.37238020420292e-09 5.31215782066886e-102 0.279840433449312 0.0140072315731835
Beta.catenin 0.0145428929741158 0.90988508006944 0.00489901899706438 0.263306018543161 0.579892883098093 1.0392151123577e-29 0.961387873222622 0.00412082104772249
CD11b 0.0411618713171827 0.736635698415571 0.439314997442362 0.0997190518810531 0.0365281038332227 6.93594745008232e-14 4.22843364121414e-06 0.351950397291952
Pan.Keratin 0.0254604996221002 1.06450450325023 -0.0169244510256518 0.173721975074289 0.1204006808059 1.40616310913513e-59 0.833333307261398 0.0130978904085017
phospho.S6 -0.223458326895729 0.581012221434723 0.276932441051323 0.489083397405838 5.28785656107541e-06 8.32156188811057e-17 0.000489453397214066 2.71379311411543e-13
Keratin6 -0.232652401311729 1.04383058773529 0.0985705633839458 0.0134044611158151 0.0013639189737377 6.94031494384755e-85 0.0976084334544726 0.809737389342021
H3K9ac 0.0140342280168811 1.06323415510738 0.0743213618577168 0.0697661658934268 0.498694769989135 1.41822491642274e-88 0.231856539904217 0.251046961157322
MPO -0.0972627372988766 0.30156233630097 -0.0427428995737694 -0.041629465231671 0.0155880235070757 0.157436592884983 0.801923925655002 0.841000507205176
H3K27me3 0.0609200591936156 1.12115103162955 0.0328928896224781 0.0472985296496463 0.024520843823045 3.01570513435067e-102 0.557965345913295 0.390396219301858
HLA_Class_1 0.233569618777849 0.711767805657077 0.057281056978848 0.530208106989351 2.39427131323855e-10 3.69408482549117e-29 0.446001914076179 9.43612517035144e-17
