target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
CD4 0.120759669073346 16.3000965839036 0.123118282648867 16.0489215913955 0.525904348980891 0.507132828139929
PD1 0.168858812433499 4.21694917009075 0.175284031588586 0.484761554519542 0.519824723763232 0.809787488351954
PD.L1 0.156280425099446 0.273661489851794 0.157701470788952 0.964610089709704 0.51984510143952 0.0879344960774992
CD31 0.0669764183218109 0.284601162585479 0.0741683687414637 0 0.594976028148864 0.828281801931043
CD11c 0.18803637925413 0 0.199384737276692 0 0.533825983992087 NaN
Ki67 0.960152711239835 2.72737218444326 0.944169759570559 5.58526254838289 0.44762572455115 0.0932046091194432
CD16 0.476403363787168 49.2223413488761 0.462020254814635 51.9961121862756 0.448007207990098 0.403766957067754
CD68 0.232551134028715 52.1411498163887 0.231421033544327 53.2324455431196 0.493096811201269 0.468468548750843
CD8 0.0329058312594014 0 0.0330495589330666 0 0.501814284647878 NaN
CD209 0.0644382973579056 1.01702498864389 0.0774922720182049 6.02731518147455 0.65335298500671 0.147167975236982
CD56 0.293957069171279 0.0543210811670924 0.301839163983265 0.122693119822858 0.514519161158386 0.256984767224911
CD138 0.326941378035712 6.5666067090093 0.307231564912694 14.3761646394401 0.363655164276382 0.096218584952628
EGFR 0.94011661377929 53.1463287958439 0.904576698241283 56.5911573698668 0.195608760429887 0.210219492556926
CD3 0.0717261228532832 20.8614860672627 0.0733801907467986 20.2102407307376 0.526915479030315 0.516519721274436
CD11b 0.536858141983564 52.3280433549421 0.549241860192103 51.6767843723905 0.531110800640773 0.512688477772582
CD45RO 0.179434203606518 61.0033552629057 0.182592994114897 59.6228635061661 0.534897360522541 0.53735207738362
Keratin17 0.815966367278464 18.2329874743898 0.81135436422427 18.5614103594151 0.476462390541023 0.476795449217524
CSF.1R 0.249425211105027 30.9274412467943 0.250086298183921 30.0733476043007 0.506002162958877 0.537678210167635
MPO 0.689268534272731 46.1267665261381 0.696763531899571 45.6066429715043 0.518340370677954 0.51334700017814
Beta.catenin 0.456229985578101 44.7428990978855 0.451072992283501 45.9352583397605 0.419081201350596 0.428039213751268
H3K9ac 0.43467313381415 62.7269526600304 0.427322595127293 64.1627325619423 0.236372669037646 0.309162460638301
H3K27me3 0.412078811888749 53.1152767802781 0.411666323430026 53.2379258911969 0.494108205317756 0.489084916437751
CD63 0.26722013566762 56.8883754048327 0.267466757700213 57.9578917334343 0.501486152219811 0.471932512035607
p53 0.292842223408289 11.1401550647987 0.290428853507183 11.7255446624999 0.477348976870898 0.454644025566456
CD45 0.152162122297094 71.7122635419613 0.153367502462721 71.3296274691686 0.526616458114413 0.513393877759595
HLA.DR 0.0752497633118514 26.2438124993449 0.074080078618432 27.4231825291928 0.466320149424196 0.462494887474111
Keratin6 0.74839520756351 58.4595346140068 0.72838823131377 60.592954998096 0.229216559001685 0.288679757279452
Pan.Keratin 0.175538997017114 33.915695062866 0.178038026146708 32.8216539479299 0.523551995776241 0.543969953841089
phospho.S6 0.752106191473292 23.2695238135653 0.6734068100769 37.8815988828512 0.0355526361136047 0.0139974305937285
HLA_Class_1 0.314910148602958 45.7574039360431 0.29025894074884 54.0251157798016 0.0474484949323258 0.0538373033678604
