target intercept intra juxta.40 para.120 p.intercept p.intra p.juxta.40 p.para.120
FoxP3 -0.0279730004299782 0.36429802550496 -0.0485550827513551 -0.157274084447008 0.403288241544692 0.0605177050513522 0.742020542242249 0.523495282248507
CD209 -0.0211404583874808 0.0155748307107669 0.257439935330764 0.498898676473593 0.268291192483964 0.923070264234388 0.086593207890357 0.000712870008083327
EGFR -0.0945480125736153 1.06824650754514 -0.0206376245341769 0.19390265612627 0.0644240553159966 1.58537671213095e-46 0.791822507988925 0.0193379759604263
PD1 -0.0686107851150126 0.834768624296323 0.344532203462672 0.0374514232108592 0.210706365694994 1.12059910794853e-21 0.00155701180734158 0.748048406234938
CD16 -0.256045078559899 1.06998045520229 0.0339549290529032 0.0537910316244684 0.00392914400018819 1.41236591232298e-106 0.53662755835439 0.341870354299798
CD163 0.0211685855775265 -0.050104471160691 -0.0546718608654989 0.104680554999386 0.59876549821149 0.808205128692918 0.714041461786323 0.435067787712192
Lag3 0.0313011602127204 0.846723121448939 0.0471662915978492 -0.0540330029554997 0.79183791944928 8.20609815975958e-21 0.666558717286681 0.671346915876368
Ki67 0.00165963547181887 0.263015456143418 0.106457020092809 0.173432112911393 0.974827814970742 0.0846068739264115 0.460409354308568 0.192791708404107
CD56 0.0100887351888415 1.18700713091236 -0.216876249678639 -0.0121210318929902 0.796958243308391 1.43630862065084e-15 0.176916239395922 0.940350257182309
CSF.1R 0.0207741392613411 1.06992165181383 0.00383997212202344 0.13297426028998 0.34897618881437 1.12186164479179e-68 0.961452912358003 0.0857375236966269
CD31 -0.0320667145838851 0.832141669750313 0.177668583990995 0.0130255145583633 0.474503112086767 7.6535510551817e-10 0.138877017213631 0.911211959655756
CD11c -0.0254061044740643 1.09212947960887 -0.167968570531863 0.303905398043891 0.334543814725391 1.01661373161166e-64 0.0410353878859986 1.40426551069128e-05
IDO -0.0252985108159046 0.934088932684366 -0.0547436171825192 0.366560901047422 0.487340664512652 3.95495561076021e-19 0.658035212031827 0.000407783230839192
CD4 -0.0052767689860161 1.03132083434669 -0.0400446111823214 0.117084860293873 0.834066398263109 1.24303670557375e-54 0.620916417367571 0.223952976088621
CD20 -0.137533884032146 0.330750345816692 0.0430783490860483 0.215150456790718 0.0519433204724634 0.0373732374272743 0.726869743112406 0.168599142853737
CD68 -0.0596033822423602 1.16614516338746 -0.0925871437152726 0.203361461852005 0.0927105668208204 1.66926010574302e-53 0.254875254384498 0.022767140961387
CD63 -0.0876829583220801 0.900627273755531 -0.084338147371666 0.369191938493078 0.114000851058323 1.62092990712653e-17 0.480713785930129 0.0014943655803406
PD.L1 -0.0518737336044984 0.949954383667561 0.263472859464025 -0.0909493113498711 0.208956457023699 1.04181852804231e-42 0.00128024454975221 0.301192833676583
MPO -0.0196515654506805 0.638237522107134 0.0813529301646909 0.161965803721837 0.65127239105911 6.38719638885801e-06 0.626742352764167 0.265600833175806
CD45 0.00921069496512731 1.16498784802892 -0.0779125995412524 0.00736430271185417 0.534757934946273 5.8908211892501e-152 0.083202340377062 0.88260606651555
Keratin17 0.259884574735185 0.837818644973735 -0.0561705466550638 1.39514281573204 9.48069941965764e-07 3.64037106486038e-05 0.792825396030777 8.46227126053539e-23
CD8 -0.0432588581397862 1.11683276744496 0.0997335581555906 0.155152169847299 0.253012846621922 1.88739197819056e-48 0.363625162315684 0.155872911393309
CD138 -0.0469127164502641 0.243879836400708 0.173626480487767 0.687431708791968 0.250492496307891 0.053753335990817 0.15636166144524 9.80779762183559e-15
HLA.DR -0.0675279574853141 1.06532740041708 0.0947994604580519 0.0412806916646602 0.123990446883468 5.52049457765029e-40 0.336334750162979 0.678356599841496
p53 -0.184043364768727 0.279262333536232 0.150137530891857 -0.12860607748916 0.00103308488257465 0.0676212568739307 0.238066676718207 0.367217901649916
H3K27me3 0.107146871957626 1.12666796047104 -0.0244582241870987 0.0517669233005576 0.0117943431539219 1.86578497971124e-85 0.705534771010103 0.422172519320284
CD45RO -0.0272032019705079 1.11982360639714 -0.0088294902933878 0.0134478165382824 0.282560253285211 3.32463664170774e-136 0.860198479318433 0.809020482457609
CD3 0.0118615732787407 1.20143703207793 0.011840323989632 -0.109879706721295 0.569006539611418 3.76538225514004e-102 0.885346774449993 0.160065339681515
Keratin6 0.00490805545912488 0.968237547449289 0.15928347227582 0.0644485036352598 0.818118851309499 1.25168475754731e-38 0.0547562459895146 0.391777673167171
H3K9ac -0.06057828252788 1.17237035548017 0.089217401512359 0.201855891035133 0.0185597311588486 1.09107895572107e-71 0.323325357973033 0.00901909718570101
CD11b -0.0730217344401326 1.27832689773526 0.00227726082828286 -0.0168034987658228 0.28691761123658 2.63512462594629e-59 0.979232388079192 0.827810587094062
Beta.catenin -0.0252106394824045 1.05055620181801 0.0867044008164592 0.0172254583777358 0.370927665801319 3.49097718202962e-63 0.181674378849871 0.774091268336947
phospho.S6 -0.122829215617684 0.815323619663859 0.256319361901072 0.284734315393607 0.00387966485744685 2.03845461325045e-16 0.0205657577176656 0.00471543785039689
HLA_Class_1 -0.309216122866343 0.979995060578835 0.0572097993952298 0.320863264527096 2.10960863320315e-13 2.40326874783415e-64 0.414276469642937 2.71538965544377e-08
Pan.Keratin -0.021593680628005 1.02732101964698 0.0934583035968486 -0.0460023301873769 0.408589873189995 7.72395050369971e-61 0.162880891553777 0.437033579330752
