target intra.RMSE intra.R2 multi.RMSE multi.R2 p.RMSE p.R2
FoxP3 2.62143567121327 20.3450202087907 2.61553472315692 20.2505704671415 0.492833889688313 0.507766897985575
OX40 1.20287747748153 0.353092170471928 1.20914331593612 0.263470964432132 0.504456751000287 0.608037172112886
CD163 0.111560911164942 0 0.112154138603432 0 0.501685280771803 NaN
Lag3 1.39748027361396 8.73181186352151 1.4034988350585 8.34267947669423 0.507179850865421 0.535021710663849
CD16 1.10759145701709 48.7184593803372 1.07175299872087 51.9512231483331 0.336454903635877 0.29863020868942
PD.L1 0.754870164802282 10.5036945115079 0.728346400746556 15.4883180481735 0.374611553776706 0.142099245706042
Ki67 1.23384865087044 0.581920028537168 1.22567292437958 1.56721255210577 0.481149866610751 0.187197777705723
PD1 0.787348421851905 14.25196229878 0.790161134183812 13.7032111270861 0.507216598521982 0.543950650672657
CD56 0.132431687452936 0 0.132933845108525 0.00837340836186362 0.501490928957492 0.171718198068957
CSF.1R 0.643847335354978 67.0554391050836 0.642001492534966 67.2552276943177 0.480425655911509 0.471707911467742
IDO 1.26057727234041 3.1628865813081 1.22055054008317 10.1041295930089 0.421615538179504 0.0503049666191077
CD20 0.476246537733084 15.769293242014 0.467162782789008 18.9102919958213 0.457797158962833 0.355510591369618
CD63 0.506211372487261 45.0855521358272 0.50757463541728 44.847887722563 0.506380105209175 0.507204440858627
CD68 1.10028459287558 50.3612761713716 1.09850698468859 50.52764117368 0.489682724057458 0.484135145381032
CD31 0.660330372439969 7.74908056826927 0.659853162259867 7.86674333318231 0.498641203596907 0.490175261719113
EGFR 0.302112701890361 20.2047452614938 0.300299381148881 21.046024112541 0.476182157601487 0.444121612998632
CD4 0.711293103088535 59.275790694974 0.712173500800591 59.199833216686 0.503944701888712 0.506705791888523
CD11c 0.695739987661369 52.296472014167 0.691604786723247 52.8332960960935 0.478651483458687 0.462964107526581
HLA.DR 0.576325690562939 61.824126075923 0.565253044682666 63.1112259453902 0.361697340720122 0.394789095900298
MPO 0.923264895488857 23.0040977712403 0.923418368090447 23.2287564447485 0.500327044656318 0.494101184030779
Keratin17 0.141170803993096 0.586093723700745 0.141414038185321 0.445713866563366 0.501790991958856 0.590663206805338
CD45 0.275524635184183 89.4536437719999 0.273457166038458 89.5998963992434 0.445490578422811 0.449936356625745
H3K27me3 0.367555465503271 70.3317149893805 0.366805129558933 70.4292947975699 0.48375772875623 0.488529114403115
CD8 0.801029845940844 53.6008116245744 0.800825925680117 53.7520998342415 0.498009732230005 0.484142712083676
CD138 0.145982101669731 0.463156167039523 0.148690881287291 1.89541695570801 0.518094859922108 0.161096448005446
p53 1.60227488244108 61.9903641573295 1.5889626984682 62.6241143816188 0.41827207761791 0.428535742083593
CD11b 0.874716518403167 57.6502332469762 0.872060281324809 57.9652914624861 0.492019750712786 0.481969963443847
CD45RO 0.504852245794935 79.2418376565553 0.506300531688959 79.1206966345664 0.512747848902743 0.523476329518661
Keratin6 0.231566386881153 46.6298011093912 0.227151568715886 49.0680335261701 0.448568318121356 0.394891769160097
H3K9ac 0.480337427988002 56.8189886646584 0.464965679537069 59.5430675632592 0.176406866449787 0.222880451662379
CD3 0.395726580455934 76.4299850153632 0.397523725056702 76.2223732757219 0.539383479770712 0.534351421905953
phospho.S6 0.418207100326379 66.1523887775365 0.415622831489094 66.5652918896174 0.448905288534065 0.438821117869263
Beta.catenin 0.537412338370376 57.7817872392682 0.528396445635143 59.0904796917103 0.395434039650878 0.357975865725992
HLA_Class_1 0.323587480386464 62.7548203698152 0.312808030384566 65.1586813999078 0.187075262385789 0.215621103628918
Pan.Keratin 0.402554588724861 53.360395995865 0.403309869309197 53.2287423414133 0.513762523528738 0.513324351567362
